mapped_rxn,source,,
[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([CH:12]([OH:13])[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[c:20]([CH3:21])[cH:22]2)[cH:7][cH:8][c:9]1[O:10][CH3:11]>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([C:12](=[O:13])[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[c:20]([CH3:21])[cH:22]2)[cH:7][cH:8][c:9]1[O:10][CH3:11],patent,,
[CH3:1][CH:2]([O:3][C:4]([CH3:5])=[O:6])[c:7]1[n:8][cH:9][cH:10][c:11]([N:13]2[CH2:14][CH2:15][c:16]3[cH:17][cH:18][c:19]([S:23](=[O:24])(=[O:25])[N:26]([CH3:27])[CH3:28])[cH:20][c:21]3[CH2:22]2)[n:12]1>>[CH3:1][CH:2]([OH:3])[c:7]1[n:8][cH:9][cH:10][c:11]([N:13]2[CH2:14][CH2:15][c:16]3[cH:17][cH:18][c:19]([S:23](=[O:24])(=[O:25])[N:26]([CH3:27])[CH3:28])[cH:20][c:21]3[CH2:22]2)[n:12]1,patent,,
[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[C:7](=[CH:8][c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][c:15]1[Cl:16])[n:17]1[cH:18][n:19][cH:20][n:21]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[C:7](=[CH:8][c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][c:15]1[Cl:16])[n:17]1[cH:18][n:19][cH:20][n:21]1,patent,,
[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[CH2:13][CH2:14][c:15]1[cH:16][cH:17][c:18]2[o:19][c:20](-[c:24]3[n:25][c:26]([C:29]([CH3:30])([CH3:31])[CH3:32])[cH:27][s:28]3)[cH:21][c:22]2[cH:23]1.[OH2:1]>>[OH:1][C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[CH2:13][CH2:14][c:15]1[cH:16][cH:17][c:18]2[o:19][c:20](-[c:24]3[n:25][c:26]([C:29]([CH3:30])([CH3:31])[CH3:32])[cH:27][s:28]3)[cH:21][c:22]2[cH:23]1,patent,,
[OH:1][CH2:2][CH2:3][CH:4]=[C:5]1[CH2:6][CH2:7][CH2:8][O:9][CH2:10]1>>[OH:1][CH2:2][CH2:3][CH2:4][CH:5]1[CH2:6][CH2:7][CH2:8][O:9][CH2:10]1,patent,,
[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[n:10][c:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([CH2:18][O:19][c:20]3[n:21][n:22](-[c:35]4[cH:36][cH:37][cH:38][cH:39][cH:40]4)[cH:23][c:24]3[CH:25]=[CH:26][P:27](=[O:28])([O:29][CH2:30][CH3:31])[O:32][CH2:33][CH3:34])[cH:41][c:42]2[O:43][CH3:44])[c:45]([CH3:46])[o:47]1.[OH2:1]>>[OH:1][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[n:10][c:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([CH2:18][O:19][c:20]3[n:21][n:22](-[c:35]4[cH:36][cH:37][cH:38][cH:39][cH:40]4)[cH:23][c:24]3[CH:25]=[CH:26][P:27](=[O:28])([O:29][CH2:30][CH3:31])[O:32][CH2:33][CH3:34])[cH:41][c:42]2[O:43][CH3:44])[c:45]([CH3:46])[o:47]1,patent,,
[CH3:1][c:2]1[s:3][c:4]([C:5](=[O:6])[CH:7]=[CH:8][c:9]2[cH:10][cH:11][c:12]([C:15]([OH:16])=[O:17])[cH:13][cH:14]2)[c:18]2[c:22]1[CH:21]1[CH:20]([CH2:19]2)[C:23]1([CH3:24])[CH3:25]>>[CH3:1][c:2]1[s:3][c:4]([C:5](=[O:6])[CH2:7][CH2:8][c:9]2[cH:10][cH:11][c:12]([C:15]([OH:16])=[O:17])[cH:13][cH:14]2)[c:18]2[c:22]1[CH:21]1[CH:20]([CH2:19]2)[C:23]1([CH3:24])[CH3:25],patent,,
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[s:9][c:10]1[n:11][c:12]([CH:15]([OH:16])[CH:17]3[CH2:18][CH2:19]3)[cH:13][n:14]21>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[s:9][c:10]1[n:11][c:12]([C:15](=[O:16])[CH:17]3[CH2:18][CH2:19]3)[cH:13][n:14]21,patent,,
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([N+:7]([O-:8])=[O:9])[c:10]2[n:11][c:12]([CH3:13])[s:14][c:15]12>>[OH:2][c:3]1[cH:4][cH:5][c:6]([N+:7]([O-:8])=[O:9])[c:10]2[n:11][c:12]([CH3:13])[s:14][c:15]12,patent,,
[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]([CH:11]([OH:12])[c:13]2[cH:14][cH:15][cH:16][c:17]([O:18][CH2:19][c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[cH:26]2)[cH:10]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][c:17]([O:18][CH2:19][c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[cH:26]2)[cH:10]1,patent,,
[CH3:1][C:2]([CH3:3])([CH3:4])[N:5]([CH2:6][C:7](=[O:8])[O-:9])[C:10](=[O:11])[C:12]1=[C:13]([OH:14])[C:15]2([CH2:16][CH2:17][O:18][CH2:19][CH2:20]2)[c:21]2[c:22]([Cl:23])[cH:24][cH:25][cH:26][c:27]2[C:28]1=[O:29]>>[NH:5]([CH2:6][C:7](=[O:8])[OH:9])[C:10](=[O:11])[C:12]1=[C:13]([OH:14])[C:15]2([CH2:16][CH2:17][O:18][CH2:19][CH2:20]2)[c:21]2[c:22]([Cl:23])[cH:24][cH:25][cH:26][c:27]2[C:28]1=[O:29],patent,,
[CH3:1][O:2][c:3]1[cH:4][c:5]([F:6])[c:7]([F:8])[c:9]([C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([NH:16][CH:17]3[CH2:18][CH2:19][N:20]([S:23]([CH3:24])(=[O:25])=[O:26])[CH2:21][CH2:22]3)[n:27][c:28]2[NH2:29])[c:30]1[O:31][CH3:32]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([F:6])[c:7]([F:8])[c:9]([C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([NH:16][CH:17]3[CH2:18][CH2:19][N:20]([S:23]([CH3:24])(=[O:25])=[O:26])[CH2:21][CH2:22]3)[n:27][c:28]2[NH2:29])[c:30]1[OH:31],patent,,
[CH3:1][CH2:2][n:3]1[c:4](-[c:13]2[cH:14][cH:15][cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]23)[n:5][c:6]([F:7])[c:8]1[Si:9]([CH3:10])([CH3:11])[CH3:12]>>[CH3:1][CH2:2][n:3]1[c:4](-[c:13]2[cH:14][cH:15][cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]23)[n:5][c:6]([F:7])[cH:8]1,patent,,
[CH3:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[N:11]1[CH:12]([c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]2[CH:34]=[CH2:35])[CH:13]([N:14]2[CH:15]([c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[CH2:16][O:17][C:18]2=[O:19])[C:26]1=[O:27].[OH2:1]>>[OH:1][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[N:11]1[CH:12]([c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]2[CH:34]=[CH2:35])[CH:13]([N:14]2[CH:15]([c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[CH2:16][O:17][C:18]2=[O:19])[C:26]1=[O:27],patent,,
[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6](-[c:11]2[cH:12][cH:13][c:14]3[n:15][o:16][n:17][c:18]3[cH:19]2)[c:7]([O:8][CH3:9])[cH:10]1>>[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6](-[c:11]2[cH:12][cH:13][c:14]3[n:15][o:16][n:17][c:18]3[cH:19]2)[c:7]([OH:8])[cH:10]1,patent,,
[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][P:18](=[O:19])([O:20][CH2:21][CH3:22])[O:23][CH2:24][CH3:25])[cH:26][cH:27]1.[OH2:1]>>[OH:1][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][P:18](=[O:19])([O:20][CH2:21][CH3:22])[O:23][CH2:24][CH3:25])[cH:26][cH:27]1,patent,,
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C:12](=[CH:14][c:15]2[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]2)[CH2:13]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][CH:12]([CH2:14][c:15]2[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]2)[CH2:13]1,patent,,
[OH:1][CH2:2][C:3]1=[C:4]([c:8]2[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]2)[CH2:5][CH2:6][CH2:7]1>>[O:1]=[CH:2][C:3]1=[C:4]([c:8]2[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]2)[CH2:5][CH2:6][CH2:7]1,patent,,
[CH3:1][N:2]([CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[NH:9][c:10]1[cH:11][c:12]([CH3:13])[c:14]([CH2:15][OH:16])[cH:17][c:18]1[CH3:19])[C:20](=[O:21])[CH2:22][CH2:23][N:24]1[CH2:25][CH2:26][CH:27]([O:30][C:31](=[O:32])[NH:33][c:34]2[cH:35][cH:36][cH:37][cH:38][c:39]2-[c:40]2[cH:41][cH:42][cH:43][cH:44][cH:45]2)[CH2:28][CH2:29]1>>[CH3:1][N:2]([CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[NH:9][c:10]1[cH:11][c:12]([CH3:13])[c:14]([CH:15]=[O:16])[cH:17][c:18]1[CH3:19])[C:20](=[O:21])[CH2:22][CH2:23][N:24]1[CH2:25][CH2:26][CH:27]([O:30][C:31](=[O:32])[NH:33][c:34]2[cH:35][cH:36][cH:37][cH:38][c:39]2-[c:40]2[cH:41][cH:42][cH:43][cH:44][cH:45]2)[CH2:28][CH2:29]1,patent,,
[F:1][C:2]([F:3])([F:4])[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]2[c:16]([cH:17]1)[C:14](=[O:15])[CH2:13][CH2:12]2>>[F:1][C:2]([F:3])([F:4])[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]2[c:16]([cH:17]1)[CH:14]([OH:15])[CH2:13][CH2:12]2,patent,,
[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:12]2[CH:13]=[c:14]3[cH:15][c:16]([CH3:17])[c:18](=[O:19])[o:20][c:21]3=[C:22]3[O:23][CH:24]([NH2:25])[N:26]([C:27]#[N:28])[CH:29]23)[cH:6][c:7]([Br:8])[c:9]1[O:10][CH3:11]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:12]2[CH:13]=[c:14]3[cH:15][c:16]([CH3:17])[c:18](=[O:19])[o:20][c:21]3=[C:22]3[O:23][CH2:24][N:26]([C:27]#[N:28])[CH:29]23)[cH:6][c:7]([Br:8])[c:9]1[O:10][CH3:11],patent,,
[CH3:1][O:2][CH2:3][O:4][c:5]1[c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:20]3[cH:21][cH:22][c:23]([CH2:24][C:25](=[O:26])[O:27][CH3:28])[cH:29][cH:30]3)[cH:18][cH:19]2)[c:31]1[C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38]>>[OH:4][c:5]1[c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:20]3[cH:21][cH:22][c:23]([CH2:24][C:25](=[O:26])[O:27][CH3:28])[cH:29][cH:30]3)[cH:18][cH:19]2)[c:31]1[C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38],patent,,
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[nH:7][c:8]3[c:9]([CH3:10])[cH:11][cH:12][c:13]([CH3:14])[c:15]3[c:16]2[cH:17]1>>[OH:2][c:3]1[cH:4][cH:5][c:6]2[nH:7][c:8]3[c:9]([CH3:10])[cH:11][cH:12][c:13]([CH3:14])[c:15]3[c:16]2[cH:17]1,patent,,
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][CH2:8][C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][c:15]([O:16][CH2:17][C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[cH:25]2)[cH:26][c:27]1[O:28][CH3:29]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][CH2:8][CH:9]([OH:10])[c:11]2[cH:12][cH:13][cH:14][c:15]([O:16][CH2:17][C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[cH:25]2)[cH:26][c:27]1[O:28][CH3:29],patent,,
[CH3:1][O:2][C:3](=[O:4])[C:5]1([c:8]2[cH:9][c:10]([F:11])[c:12]([O:13][CH3:14])[c:15]([F:16])[cH:17]2)[CH2:6][CH2:7]1>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([c:8]2[cH:9][c:10]([F:11])[c:12]([OH:13])[c:15]([F:16])[cH:17]2)[CH2:6][CH2:7]1,patent,,
[CH3:1][CH2:2][CH2:3][CH2:4][N:5]1[CH2:6][CH2:7][N:8]([c:11]2[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]2)[CH2:9][CH2:10]1>>[CH3:1][CH2:2][CH2:3][CH2:4][N:5]1[CH2:6][CH2:7][N:8]([c:11]2[cH:12][cH:13][c:14]([OH:15])[cH:17][cH:18]2)[CH2:9][CH2:10]1,patent,,
[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH2:7][CH2:8][CH2:9][O:10][CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][O:16]1)=[CH:17][c:18]1[cH:19][cH:20][cH:21][c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH2:8][CH2:9][O:10][CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][O:16]1)[CH2:17][c:18]1[cH:19][cH:20][cH:21][c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]12,patent,,
[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][OH:12]>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH:11]=[O:12],patent,,
[CH3:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([CH:10]=[CH:11][c:12]2[cH:13][cH:14][c:15]3[c:16]([cH:17]2)[C:18]([CH:19]=[CH:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)=[CH:27][CH2:28][C:29]3([CH3:30])[CH3:31])[cH:32][cH:33]1.[OH2:1]>>[OH:1][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([CH:10]=[CH:11][c:12]2[cH:13][cH:14][c:15]3[c:16]([cH:17]2)[C:18]([CH:19]=[CH:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)=[CH:27][CH2:28][C:29]3([CH3:30])[CH3:31])[cH:32][cH:33]1,patent,,
[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][O:8][c:9]1[cH:10][c:11]([CH:31]([CH3:32])[CH3:33])[cH:12][cH:13][c:14]1[CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][c:23]([C:29]#[N:30])[cH:24][cH:25][c:26]1[O:27][CH3:28].[OH2:1]>>[OH:1][C:5](=[O:6])[CH2:7][O:8][c:9]1[cH:10][c:11]([CH:31]([CH3:32])[CH3:33])[cH:12][cH:13][c:14]1[CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][c:23]([C:29]#[N:30])[cH:24][cH:25][c:26]1[O:27][CH3:28],patent,,
[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([CH:14]([OH:15])[c:16]2[cH:17][cH:18][cH:19][c:20]([O:21][Si:22]([CH3:23])([CH3:24])[C:25]([CH3:26])([CH3:27])[CH3:28])[cH:29]2)[cH:12][cH:13]1>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([C:14](=[O:15])[c:16]2[cH:17][cH:18][cH:19][c:20]([O:21][Si:22]([CH3:23])([CH3:24])[C:25]([CH3:26])([CH3:27])[CH3:28])[cH:29]2)[cH:12][cH:13]1,patent,,
[CH3:1][O:2][c:3]1[c:4]([I:5])[c:6]([Cl:7])[cH:8][c:9]([F:10])[c:11]1-[n:12]1[c:13](=[O:14])[cH:15][c:16]([C:21]([F:22])([F:23])[F:24])[n:17]([CH3:18])[c:19]1=[O:20]>>[OH:2][c:3]1[c:4]([I:5])[c:6]([Cl:7])[cH:8][c:9]([F:10])[c:11]1-[n:12]1[c:13](=[O:14])[cH:15][c:16]([C:21]([F:22])([F:23])[F:24])[n:17]([CH3:18])[c:19]1=[O:20],patent,,
[CH3:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([O:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][c:18]1[C:19]([F:20])([F:21])[F:22].[OH2:1]>>[OH:1][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([O:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][c:18]1[C:19]([F:20])([F:21])[F:22],patent,,
[CH3:1][C:2]1=[C:3]([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[C:4](=[O:5])[N:6]([C:9]([CH3:10])([CH3:11])[CH:12]([OH:13])[c:14]2[cH:15][cH:16][cH:17][c:18]([CH:19]=[CH2:20])[cH:21]2)[CH2:7][O:8]1>>[CH3:1][C:2]1=[C:3]([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[C:4](=[O:5])[N:6]([C:9]([CH3:10])([CH3:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][c:18]([CH:19]=[CH2:20])[cH:21]2)[CH2:7][O:8]1,patent,,
[O:1]=[C:2]1[CH2:3][O:4][CH2:5][CH:6]2[CH2:7][NH:8][CH2:9][CH2:10][N:11]12>>[CH2:2]1[CH2:3][O:4][CH2:5][CH:6]2[CH2:7][NH:8][CH2:9][CH2:10][N:11]12,patent,,
